# [PP] -> [panduan pengguna]
Kategori,Aktivitas,Lokasi File / Terminal,Deskripsi Singkat
Database,Membuat DB,Terminal (sudo mariadb),Perintah CREATE DATABASE structure; untuk wadah data.
Migration,Skema Supplier,database/migrations/xxxx_create_suppliers_table.php,Menentukan kolom nama_supplier dan alamat.
Migration,Skema Produk,database/migrations/xxxx_create_produks_table.php,"Menentukan nama_produk, harga, dan supplier_id (Foreign Key)."
Model,Setup Relasi,app/Models/Supplier.php,Menambahkan hasMany(Produk::class) dan $fillable.
Model,Setup Relasi,app/Models/Produk.php,Menambahkan belongsTo(Supplier::class) dan $fillable.
Controller,Logic Data,app/Http/Controllers/ProdukController.php,Mengambil data dengan with('supplier') untuk efisiensi (Eager Loading).
Routing,Registrasi URL,routes/web.php,"Menambahkan Route::get('/produk', ...) agar URL bisa diakses di Brave."
Frontend,UI (React),resources/js/Pages/Produk/Index.jsx,Membuat tabel responsif dengan Tailwind untuk menampilkan data.
Execution,Migrasi Tabel,Terminal (php artisan migrate:fresh),Membangun ulang seluruh struktur tabel agar bersih dan sinkron.
Data Entry,Testing Data,Terminal (php artisan tinker),Menginput data contoh secara manual untuk memastikan relasi bekerja.
Build Tool,Kompilasi Aset,Terminal (npm run dev),Menjalankan Vite agar file JSX dikonversi menjadi tampilan web.
